Dép.;Code;Nom de la commune;Population totale au 01-01-2007;Taux communaux;;;;;Taux intercommunaux;;;;


;;;;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habi- tation;foncier bâti;foncier non bâti;taxe professionnelle;TEOM
92;92073;Suresnes;40594;14,55;18,29;106,4;16,14;3,61;;;;;
92;92075;Vanves;25712;14,64;18,01;13,27;13,49;;;;;12,71;5,23
92;92077;Ville-d'Avray;11573;8,93;14,28;17,6;12,5;;;;;12,71;3,83
92;92078;Villeneuve-la-Garenne;22438;12,09;15,45;18,21;23,36;7,34;;;;;
93;93001;Aubervilliers;63524;13,64;20,85;26,28;;;;;;21,7;6,36
93;93005;Aulnay-sous-Bois;80315;16,12;14,4;23,45;20,94;6,66;;;;;
93;93005;Aulnay-sous-Bois;0;0;0;0;0;0;0,277;0,248;0,403;0,464;
93;93006;Bagnolet;32761;14,44;19,81;20,22;22,82;2,57;;;;;
93;93007;Le Blanc-Mesnil;47079;15,34;21,29;45,9;25,71;;;;;;
93;93007;Le Blanc-Mesnil;0;0;0;0;0;0;1,71;2,38;5,13;4,76;
93;93008;Bobigny;44318;16,14;23,48;72,05;28,67;7,4;;;;;
93;93010;Bondy;47084;18,06;19,86;99,39;26,32;10,48;;;;;
93;93013;Le Bourget;12151;12,17;10,72;13,3;14,51;;2,63;4,28;6,08;5,46;6,62
93;93014;Clichy-sous-Bois;28379;20,5;17,83;45,2;;8,21;;;;22,2;
93;93027;La Courneuve;35608;8,33;20,53;16,25;;;;;;21,7;5,56
93;93029;Drancy;62624;9,03;17,13;33,55;21,5;;2,63;4,28;6,08;5,46;6,62
93;93030;Dugny;10023;15,4;25,85;72,44;21,06;8,39;;;;;
93;93031;Epinay-sur-Seine;46593;16,71;24,06;30,91;;;;;;21,7;6,61
93;93032;Gagny;36876;19,52;20,37;34,59;21,02;7,5;;;;;
93;93045;Les Lilas;20484;16,5;22,42;28,84;24,2;5,99;;;;;
93;93046;Livry-Gargan;37415;15,66;16,25;25,89;19,29;5,56;;;;;
93;93047;Montfermeil;24199;20,1;16,72;23,03;;;;;;22,2;
93;93047;Montfermeil;0;0;0;0;0;0;;;;;8,52
93;93048;Montreuil;91146;16,49;19,9;30,69;29,94;9,25;;;;;
93;93049;Neuilly-Plaisance;18300;16,17;18,29;35,42;15,86;8,17;;;;;
93;93050;Neuilly-sur-Marne;32875;14,75;15,4;26,68;14,75;6,75;;;;;
93;93051;Noisy-le-Grand;61767;18,21;15,73;97,66;21,59;5,68;;;;;
93;93053;Noisy-le-Sec;37460;14,09;24,48;21,02;20,17;7,22;;;;;
93;93055;Pantin;50070;12,77;21,74;20,02;24,6;3,71;;;;;
93;93057;Les Pavillons-sous-Bois;19905;13,46;17,73;26,5;22,21;8,26;;;;;
93;93059;Pierrefitte-sur-Seine;25939;17,93;27,68;46,18;;;;;;21,7;7,87
93;93061;Le Pré-Saint-Gervais;16609;12,78;26,94;44,9;27,28;7,22;;;;;
93;93062;Le Raincy;13179;16,94;13,9;19,8;16,52;5,51;;;;;
93;93063;Romainville;24010;14,13;24,5;39,75;22,73;6,29;;;;;
93;93064;Rosny-sous-Bois;39499;17,26;19,67;20,27;23,49;5,84;;;;;
93;93066;Saint-Denis;86871;9,72;17,46;21,52;;;;;;21,7;5,69
93;93070;Saint-Ouen;40015;10,34;11,11;10,57;19,2;5,01;;;;;
93;93071;Sevran;47215;21,84;21,84;91,45;21,84;;;;;;
93;93071;Sevran;0;0;0;0;0;0;3,71;3,71;15,5;5,17;
93;93072;Stains;33076;16,21;23,81;34,55;;;;;;21,7;7,35
93;93073;Tremblay-en-France;34018;14,23;19,88;86,47;15,22;;;;;;
93;93073;Tremblay-en-France;0;0;0;0;0;0;1,17;1,63;7,09;2,02;
93;93077;Villemomble;27230;13,71;15,66;48,95;18,07;6,12;;;;;
93;93078;Villepinte;33902;15,22;30,75;89,16;15,22;;;;;;
93;93078;Villepinte;0;0;0;0;0;0;1,69;3,47;9,88;2,63;
93;93079;Villetaneuse;11419;12,53;26,44;55,57;;;;;;21,7;7,07
94;94002;Alfortville;36392;14,78;17,58;69,84;21,66;;;;;24,78;7,38
94;94003;Arcueil;18208;14,29;20,95;21,59;21,02;;;;;23,18;5,22
94;94004;Boissy-Saint-Léger;15393;19,01;18,93;70,46;18,43;;;;;18,24;8
94;94004;Boissy-Saint-Léger;0;0;0;0;0;0;0,319;0,317;1,18;0;
94;94011;Bonneuil-sur-Marne;16352;15,73;25,68;87,71;25,24;6,21;;;;;
94;94011;Bonneuil-sur-Marne;0;0;0;0;0;0;0,217;0,354;1,21;0,502;
94;94015;Bry-sur-Marne;15066;11,93;21,21;24,34;17,32;8,02;;;;;
94;94016;Cachan;25327;17,19;20,69;69,04;23,93;;;;;23,18;7,87
94;94016;Cachan;0;0;0;0;0;0;0,336;0,405;1,35;0;
94;94017;Champigny-sur-Marne;74658;16,94;19,53;27,4;30,68;10,95;;;;;
94;94018;Charenton-le-Pont;26706;9,15;13,74;18,87;14,83;;0,791;1,11;1,69;1,15;4,16
94;94019;Chennevières-sur-Marne;17919;13,48;13,7;36,62;17,58;;;;;18,24;8
94;94019;Chennevières-sur-Marne;0;0;0;0;0;0;0,013;0,0132;0,0347;0;
94;94021;Chevilly-Larue;18288;6,41;13,15;29,01;17,06;5,6;;;;;
94;94021;Chevilly-Larue;0;0;0;0;0;0;0,116;0,24;0,526;0,479;
94;94022;Choisy-le-Roi;34574;14,64;23,76;108,39;20,08;6,12;;;;;
94;94022;Choisy-le-Roi;0;0;0;0;0;0;0,445;0,722;3,29;0,935;
94;94028;Créteil;82630;18,79;22,93;42,11;25,37;;;;;24,78;7,75
94;94033;Fontenay-sous-Bois;51264;13,74;15,49;20,39;20,32;6,75;;;;;
94;94034;Fresnes;25315;15,81;22,3;44,68;24,43;;;;;23,18;5,46
94;94034;Fresnes;0;0;0;0;0;0;0,262;0,37;0,742;0;
94;94037;Gentilly;16183;6,35;26,59;11,3;21,86;;;;;23,18;4,7
94;94038;L'Hay-les-Roses;29816;17,58;21,55;43,96;23,81;;;;;23,18;5,04
94;94038;L'Hay-les-Roses;0;0;0;0;0;0;0,379;0,464;0,947;0;
94;94041;Ivry-sur-Seine;51425;10,16;29,5;44,4;28,54;;;;;;
94;94042;Joinville-le-Pont;17348;13,98;23,68;30,43;20,99;7,58;;;;;
94;94042;Joinville-le-Pont;0;0;0;0;0;0;0,132;0,224;0,29;0,383;
94;94043;Le Kremlin-Bicêtre;23900;13,96;19,51;14,94;22,6;;;;;23,18;4,6
94;94044;Limeil-Brévannes;17650;20,76;20,76;100,85;25,16;;;;;24,78;9,02
94;94044;Limeil-Brévannes;0;0;0;0;0;0;1,65;1,65;7,99;0;
94;94046;Maisons-Alfort;51749;11,85;11,81;18,24;13,47;5,38;;;;;
94;94046;Maisons-Alfort;0;0;0;0;0;0;0,0657;0,0655;0,102;0,129;
94;94052;Nogent-sur-Marne;28416;15,6;19,22;70,16;;;;;;21,55;5,9
94;94054;Orly;20706;14,93;17,48;39,85;19,33;;;;;;
94;94054;Orly;0;0;0;0;0;0;0,108;0,127;0,288;0,242;
94;94058;Le Perreux-sur-Marne;30227;10,96;19,54;26,76;;;;;;21,55;5,9
94;94059;Le Plessis-Trévise;18287;13,4;16,5;43,53;17,54;;;;;18,24;8
94;94060;La Queue-en-Brie;10904;19,5;21,2;82,46;19,06;;;;;18,24;8
94;94060;La Queue-en-Brie;0;0;0;0;0;0;0,715;0,777;3,03;0;
94;94067;Saint-Mandé;19979;10,49;13,48;7,69;19,38;3,92;;;;;
94;94068;Saint-Maur-des-Fossés;73613;11,83;11,83;27,71;15,11;6,99;;;;;
94;94068;Saint-Maur-des-Fossés;0;0;0;0;0;0;0,141;0,141;0,331;0,315;
94;94069;Saint-Maurice;12821;12,38;15,42;33,86;14,56;;0,791;1,11;1,69;1,15;4,12
94;94071;Sucy-en-Brie;25030;21,91;20,07;126,63;18,33;;;;;18,24;8
94;94071;Sucy-en-Brie;0;0;0;0;0;0;0,436;0,4;2,52;0;
94;94073;Thiais;28502;10,75;10,57;19,75;12,71;5,95;;;;;
94;94073;Thiais;0;0;0;0;0;0;0,176;0,173;0,323;0,329;
94;94074;Valenton;11489;17,89;19,5;61,43;22,23;5,82;;;;;
94;94074;Valenton;0;0;0;0;0;0;0,817;0,891;2,81;1,33;
94;94076;Villejuif;47613;18,63;23,76;119,12;26,07;;;;;23,18;6,01
94;94077;Villeneuve-le-Roi;18376;20,65;25,73;112,36;18,78;3,01;;;;;
94;94077;Villeneuve-le-Roi;0;0;0;0;0;0;0,763;0,95;4,15;0,956;
94;94078;Villeneuve-Saint-Georges;28942;21,28;18,06;29,02;15,74;9,76;;;;;
94;94078;Villeneuve-Saint-Georges;0;0;0;0;0;0;0,512;0,435;0,699;0,495;
94;94079;Villiers-sur-Marne;26894;22,31;21,07;120,02;23,77;9,48;;;;;
94;94079;Villiers-sur-Marne;0;0;0;0;0;0;0,0187;0,0176;0,0995;0,0304;
94;94080;Vincennes;43937;12,8;16,77;61,01;16,39;5,25;;;;;
94;94081;Vitry-sur-Seine;79322;11,5;17,64;28,05;21,9;4,02;;;;;
95;95018;Argenteuil;95416;17,93;19,15;51;;;;;;19,66;
95;95018;Argenteuil;0;0;0;0;0;0;1,13;1,21;3,22;0;
95;95019;Arnouville-lès-Gonesse;12403;13,94;20,67;79,53;;;;;;16,91;9,18
95;95019;Arnouville-lès-Gonesse;0;0;0;0;0;0;0,936;1,39;5,34;0;
95;95063;Bezons;26480;14,81;16,78;78,34;;;;;;19,66;
95;95063;Bezons;0;0;0;0;0;0;;;;;7,44
95;95127;Cergy;56105;11,22;24;31,98;;7,9;;;;15,94;
95;95176;Cormeilles-en-Parisis;19822;15,85;15,69;32,46;20,3;;;;;18,51;6,95
95;95197;Deuil-la-Barre;20292;14,07;17,19;68,72;;;;;;18,97;7,66
95;95197;Deuil-la-Barre;0;0;0;0;0;0;1,95;2,39;9,54;0;
95;95199;Domont;15051;14,57;13,38;66,5;17,77;;;;;18,86;8,09
95;95199;Domont;0;0;0;0;0;0;1,28;1,17;5,83;0;
95;95203;Eaubonne;23026;14,1;19,26;35,69;16,73;;;;;16,41;7,4
95;95203;Eaubonne;0;0;0;0;0;0;0,861;1,18;2,18;0;
95;95210;Enghien-les-Bains;10468;9,17;9,3;41,25;10,01;;;;;;
95;95210;Enghien-les-Bains;0;0;0;0;0;0;1,27;1,29;5,7;2,63;5,22
95;95218;Eragny;16792;13,78;25,88;42,84;;8,69;;;;15,94;
95;95219;Ermont;27696;14,42;17,04;82,41;16,23;;;;;16,41;7,75
95;95219;Ermont;0;0;0;0;0;0;1,38;1,63;7,88;0;
95;95250;Fosses;10045;15,11;20,01;97,19;;;1,13;1,24;5,66;10,82;3,6
95;95250;Fosses;0;0;0;0;0;0;0,168;0,222;1,08;0;
95;95252;Franconville;33665;15,95;16,74;119,63;;;;;;16,41;6,57
95;95252;Franconville;0;0;0;0;0;0;0,521;0,547;3,91;0;
95;95268;Garges-lès-Gonesse;40213;16,45;21,17;57,65;19,45;;;;;16,91;9,18
95;95268;Garges-lès-Gonesse;0;0;0;0;0;0;0,417;0,536;1,46;0;
95;95277;Gonesse;24974;17,65;17,17;60,45;17,29;3,41;;;;;
95;95277;Gonesse;0;0;0;0;0;0;1,29;1,25;4,41;1,84;
95;95280;Goussainville;27540;14,98;18,42;58,62;17,22;3,82;;;;;
95;95280;Goussainville;0;0;0;0;0;0;1,8;2,21;7,04;3,14;
95;95306;Herblay;23631;17,54;21,6;78,43;20,52;;;;;18,51;6,83
95;95313;L'Isle-Adam;11307;15,96;16,79;79,38;21,43;;0,078;0,084;0,344;0,097;9,44
95;95323;Jouy-le-Moutier;18230;11,2;23,5;31,24;;8;;;;15,94;
95;95424;Montigny-lès-Cormeilles;17333;16,35;18,26;119,65;24,47;;;;;18,51;7,06
95;95424;Montigny-lès-Cormeilles;0;0;0;0;0;0;0,419;0,468;3,07;0;
95;95427;Montmagny;13200;15,67;29,52;95,77;;;;;;18,97;9,05
95;95427;Montmagny;0;0;0;0;0;0;1,41;2,66;8,62;0;
95;95428;Montmorency;20797;16,6;19,65;88,78;;;;;;18,97;7,75
95;95428;Montmorency;0;0;0;0;0;0;0,824;0,975;4,41;0;
95;95476;Osny;14792;12,01;25;74,59;;8,3;;;;15,94;
95;95476;Osny;0;0;0;0;0;0;0,00422;0,00878;0,0257;0;
95;95500;Pontoise;28725;15,28;24,89;37,54;;10,21;;;;15,94;
95;95500;Pontoise;0;0;0;0;0;0;0,00758;0,0123;0,0196;0;
95;95539;Saint-Brice-sous-Forêt;12652;15,81;19,96;80,31;20,61;;;;;18,86;8,09
95;95539;Saint-Brice-sous-Forêt;0;0;0;0;0;0;1,72;2,17;8,74;0;
95;95555;Saint-Gratien;19333;12,1;16,2;43,43;;;;;;18,97;6,83
95;95555;Saint-Gratien;0;0;0;0;0;0;2;2,67;7,16;0;
95;95563;Saint-Leu-la-Forêt;15243;16,86;19,83;98,12;16,3;;;;;;
95;95563;Saint-Leu-la-Forêt;0;0;0;0;0;0;0,48;0,565;2,8;0,905;8,42
95;95572;Saint-Ouen-l'Aumône;21501;7,92;21,4;35,8;;;;;;15,94;
95;95582;Sannois;25887;16,88;19,95;62,69;18,96;;;;;;
95;95582;Sannois;0;0;0;0;0;0;1,67;1,97;6,2;3,32;8,59
95;95585;Sarcelles;58241;17,32;18,8;41,51;;;;;;16,91;9,18
95;95585;Sarcelles;0;0;0;0;0;0;0,509;0,553;1,22;0;
95;95598;Soisy-sous-Montmorency;16888;13,29;13,73;95,01;;;;;;18,97;6,71
95;95598;Soisy-sous-Montmorency;0;0;0;0;0;0;2,89;2,99;20,7;0;
95;95607;Taverny;26092;14,86;16,88;43,31;13,41;;;;;;
95;95607;Taverny;0;0;0;0;0;0;0,875;0,994;2,55;1,1;8,6
95;95637;Vauréal;16489;11,32;24,5;39,13;;8,12;;;;15,94;
95;95680;Villiers-le-Bel;26330;12,84;18,87;55,88;;;;;;16,91;9,18
95;95680;Villiers-le-Bel;0;0;0;0;0;0;1,35;1,98;5,86;0;
971;97101;Les Abymes;63290;14,94;19,93;59,65;10,8;13;;;;;
971;97103;Baie-Mahault;27371;12,85;17,9;78,92;12,85;1,21;;;;;
971;97103;Baie-Mahault;0;0;0;0;0;0;0,0684;0,0952;0,42;0,0849;
971;97105;Basse-Terre;12667;13,41;32,48;43,31;;;;;;14,98;17,24
971;97107;Capesterre-Belle-Eau;19678;22;25;81,16;19,59;11,9;;;;;
971;97113;Le Gosier;27224;6,15;6,2;11,64;3,12;13;;;;;
971;97115;Lamentin;13528;15,16;44,1;65,64;17,05;;1,47;3,31;9,39;1,7;7,01
971;97116;Morne-à-l'Eau;17239;21,01;46,76;117,81;27,96;;;;;;
971;97117;Le Moule;20917;8,94;24,05;51,41;9,09;5,96;;;;;
971;97118;Petit-Bourg;20628;16,45;20,65;73,85;14,5;4,99;;;;;
971;97118;Petit-Bourg;0;0;0;0;0;0;0,168;0,21;0,751;0,183;
971;97120;Pointe-à-Pitre;21080;17,98;37,09;45,9;17,98;11,21;;;;;
971;97124;Saint-Claude;10476;12,66;17,97;70,87;;;;;;14,98;14,17
971;97125;Saint-François;10694;4,81;8,18;18,86;4,15;6,79;;;;;
971;97127;Saint-Martin;33164;18,34;27,99;105,88;;14,7;;;;;
971;97128;Sainte-Anne;22693;13,78;15,17;19,11;20,45;10,6;;;;;
971;97129;Sainte-Rose;17639;12,73;19,47;103,11;12,05;;1,47;3,31;9,39;1,7;11
972;97207;Ducos;15292;14,2;23,73;19,02;13,29;;1,02;2,16;1,48;11,82;17
972;97209;Fort-de-France;94778;24,53;29,41;25,32;14,42;;;;;13,99;13,5
972;97210;Le François;18633;16,98;21,3;19,69;12,04;;1,02;2,16;1,48;11,82;17
972;97212;Gros-Morne;10710;13,97;18,85;14,67;3,24;;4,97;9,13;7,62;3,2;11
972;97213;Le Lamentin;38613;16,96;16,85;29,32;13,77;;;;;13,99;13,54
972;97220;Rivière-Pilote;13117;4,25;9,5;4,84;6,14;;1,02;2,16;1,48;11,82;17
972;97221;Rivière-Salée;12332;10,55;26,05;19,71;9,92;;1,02;2,16;1,48;11,82;17
972;97222;Le Robert;23117;12,05;30,1;21,81;13,09;;4,97;9,13;7,62;3,2;11
972;97224;Saint-Joseph;15826;10,84;11,38;20,59;13,15;;;;;13,99;13,54
972;97228;Sainte-Marie;20218;17,88;20,88;15,79;5,12;;4,97;9,13;7,62;3,2;11
972;97229;Schoelcher;20908;16,99;15,06;5,15;13,03;;;;;13,99;13,54
972;97230;La Trinité;13067;9,03;24,89;11,69;9,15;;4,97;9,13;7,62;3,2;11
973;97302;Cayenne;50675;14,31;33,3;65,79;22,96;14,5;0,924;1,96;4,1;1,06;
973;97304;Kourou;19191;13,24;33,39;84,05;10,65;10,51;;;;;
973;97307;Matoury;22312;12,27;16,48;31,3;7,47;15,3;0,924;1,96;4,1;1,06;
973;97309;Remire-Montjoly;15565;7,18;7,94;13,98;2,81;12,59;0,924;1,96;4,1;1,06;
973;97311;Saint-Laurent-du-Maroni;19416;21,07;39,4;76,32;15,74;;;;;15,26;12,3
974;97402;Bras-Panon;10677;17,78;33,32;42,62;19,05;;;;;22,68;13
974;97404;L'Etang-Salé;11850;16,2;23,12;39,2;18,61;;;;;20,91;16,25
974;97405;Petite-Ile;10226;15,75;24,87;28,9;17,88;;;;;20,91;16,25
974;97407;Le Port;38675;21,96;26,93;27,33;16,82;;;;;17,38;12,4
974;97408;La Possession;25319;19,64;21,35;34,83;14,74;;;;;17,38;13
974;97409;Saint-André;48157;26,7;26,54;23,47;23,41;;;;;22,68;13
974;97410;Saint-Benoît;31873;18,1;32,42;45,1;23,17;;;;;22,68;13
974;97411;Saint-Denis;132573;17,73;22,65;12,4;15,18;;;;;15,7;11,98
974;97412;Saint-Joseph;30771;16,58;27,54;33,46;18,38;;1,45;2,37;3,05;1,33;11,45
974;97413;Saint-Leu;27386;20,12;28,47;27,84;17,32;;;;;17,38;13,9
974;97414;Saint-Louis;44112;25,05;31,57;37,24;24,82;;;;;20,91;16,25
974;97415;Saint-Paul;96545;19,48;24,9;26,7;19,23;;;;;17,38;13,74
974;97416;Saint-Pierre;69849;16,54;28,61;23,1;19,5;;;;;20,91;16,25
974;97418;Sainte-Marie;30708;18,3;29;50,25;17,3;;;;;15,7;11,98
974;97420;Sainte-Suzanne;21131;23,58;27,68;36,19;17,05;;;;;15,7;11,98
974;97422;Le Tampon;61258;15,63;25,98;31,37;13,18;;1,45;2,37;3,05;1,33;13,39
