Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
25;25462;Pontarlier;19 321;10,74;14,15;32,79;11,8;-;2,16;4,06;4,87;2,1;6,95
25;25580;Valentigney;12 741;14;19,91;15,97;-15,29;-;-;-;-;14,36;4,42
26;26057;Bourg-de-Péage;10 080;13,62;30;50;-14,67;-;-;-;-;13,72;8,32
26;26058;Bourg-lès-Valence;18 910;10,39;20,14;46,02;15,99;-;-;-;-;-;6,09
26;26198;Montélimar;32 896;14,09;20,54;67,85;-17;-;-;-;-;15,69;7,63
26;26235;Pierrelatte;12 166;13,04;13,72;68,26;8,67;-;-;-;-;-;-
26;26281;Romans-sur-Isère;33 665;20,15;26,43;70,21;-16,92;-;-;-;-;16,24;8,41
26;26362;Valence;66 568;16,25;23,31;49,21;13,43;-;-;-;-;-;6,09
27;27056;Bernay;11 620;10,55;22,08;29,94;12,1;-;2,02;4,48;6,74;2,37;13,85
27;27229;Evreux;54 076;19,8;35,03;72,31;-;-;-;-;-;16,76;11,79
27;27284;Gisors;11 115;21,78;38,4;63,06;16,34;-;3,04;5,48;6,06;2,4;18,11
27;27375;Louviers;18 937;15,85;30,27;66,38;-14,4;-;-;-;-;14,93;15,1
27;27681;Vernon;25 003;14,72;30,51;63,45;-14,55;-;-;-;-;12,14;14,04
27;27701;Val-de-Reuil;13 796;17,42;40,24;92,84;-15,52;-;-;-;-;14,93;15,1
28;28085;Chartres;42 059;18,67;32,59;39,79;-;-;-;-;-;15,49;11
28;28088;Châteaudun;15 378;22,36;30,71;52,61;15,84;-;0,1;0,14;0,19;0,08;15,74
28;28134;Dreux;32 565;20,54;23,46;40,2;-;-;0;0;0;14,38;15,78
28;28134;Dreux;;-;-;-;-;-;1,04;1,19;2,04;0;-
28;28218;Lucé;18 134;14,01;34,51;60,2;-;-;-;-;-;15,49;11
28;28229;Mainvilliers;10 268;15,11;33,01;48,08;-;-;-;-;-;15,49;11
28;28280;Nogent-le-Rotrou;12 484;16,35;24,78;52,22;15,79;-;-;-;-;-;13,88
28;28404;Vernouillet;11 720;15,95;24,96;45,73;-14,46;-;0;0;0;14,38;15,5
28;28404;Vernouillet;;-;-;-;-;-;0,84;1,31;2,4;0;-
29;29019;Brest;156 217;20,5;23,76;35,17;-20,89;-;2,35;2,19;4,32;20,13;3,92
29;29039;Concarneau;20 021;17,06;22,01;64,01;-17,93;-;-;-;-;17,28;4,35
29;29046;Douarnenez;16 330;20,22;21,98;63,6;-18,88;-;-;-;-;18,74;-
29;29075;Guipavas;12 862;18,51;15,54;36,38;-17,38;-;2,35;2,19;4,32;20,13;3,92
29;29103;Landerneau;15 141;16,29;17,09;41,96;-12,68;-;-;-;-;11,97;8,27
29;29151;Morlaix;16 978;17,9;23,63;65,85;-13,88;-;-;-;-;13,02;6,63
29;29189;Plougastel-Daoulas;12 471;20,7;19,15;49,99;-20,11;-;2,35;2,19;4,32;20,13;3,92
29;29212;Plouzané;12 265;22,69;24,39;51,01;-20,48;-;2,35;2,19;4,32;20,13;3,92
29;29232;Quimper;67 127;17,9;18,81;58,09;-16,5;-;-;-;-;16,25;9,14
29;29233;Quimperlé;11 532;13,06;13,06;42,32;-12,23;-;-;-;-;13,63;11,98
29;29235;Le Relecq-Kerhuon;11 227;19,12;19,5;45,85;-17,4;-;2,35;2,19;4,32;20,13;3,92
2A;2A004;Ajaccio;54 697;22,72;17,02;46,24;-24,59;-;-;-;-;23,58;13,79
2A;2A247;Porto-Vecchio;10 586;14,74;10,5;93,88;21,49;14,69;-;-;-;-;-
2B;2B033;Bastia;39 016;20,54;19,68;63,03;-;10,3;-;-;-;26,12;-
30;30007;Alès;41 054;20,25;32,99;64,26;-18,23;-;-;-;-;17,24;11,75
30;30028;Bagnols-sur-Cèze;18 561;12,64;21;67,5;-16,27;10,14;-;-;-;15,81;-
30;30032;Beaucaire;13 940;13,19;23,9;53,2;-19,76;14;-;-;-;19,75;-
30;30189;Nîmes;137 740;29,33;31,05;83,76;-23,79;14,5;-;-;-;22,77;-
30;30258;Saint-Gilles;12 201;15,22;28,72;96,41;-20,75;17,53;-;-;-;22,77;-
30;30341;Vauvert;10 392;13,96;28,04;81,91;-20,6;-;-;-;-;18,87;12,2
30;30351;Villeneuve-lès-Avignon;12 078;14,18;31,74;115,63;-22,12;-;-;-;-;24,3;14,7
31;31044;Balma;12 588;11,66;14,39;114,29;-21,58;9,06;-;-;-;19,88;-
31;31069;Blagnac;20 806;13,2;37,9;174,69;-21,57;-;-;-;-;19,88;-
31;31113;Castanet-Tolosan;10 396;12,5;24,5;120;-;-;-;-;-;19,31;-
31;31149;Colomiers;28 988;16,48;21,21;169,66;-22,63;-;-;-;-;19,88;-
31;31149;Colomiers;;-;-;-;-;-;-;-;-;-;12,48
31;31157;Cugnaux;15 183;18,46;28,88;157,04;-20,75;9,6;-;-;-;19,88;-
31;31187;Fonsorbes;10 019;14,5;25,15;116,11;21,94;-;3,42;5,92;27,3;6,46;13
31;31395;Muret;21 446;14,94;23,87;92,05;-22,23;-;-;-;-;18,62;12,2
31;31424;Plaisance-du-Touch;15 340;16,06;27,56;148,3;-;-;-;-;-;22,72;17,07
31;31446;Ramonville-Saint-Agne;12 034;13,1;18,39;152,14;-;-;-;-;-;19,31;-
31;31483;Saint-Gaudens;11 587;9,95;22,91;88,99;-16,07;-;-;-;-;15,81;-
31;31483;Saint-Gaudens;;-;-;-;-;-;-;-;-;-;7,21
31;31506;Saint-Orens-de-Gameville;11 142;20,09;24,47;144,73;-20,58;-;-;-;-;19,88;-
31;31555;Toulouse;398 423;19,39;21,79;84,14;-19,49;8,5;-;-;-;19,88;-
31;31557;Tournefeuille;25 510;13,56;27,96;151,33;-20,77;-;-;-;-;19,88;-
31;31557;Tournefeuille;;-;-;-;-;-;-;-;-;-;15,45
31;31561;L'Union;12 291;9,02;14,89;63,58;-17,4;8,6;-;-;-;19,88;-
32;32013;Auch;23 501;16,23;41,11;110,72;-23,44;7,79;-;-;-;23,29;-
33;33003;Ambarès-et-Lagrave;11 488;17,17;26,14;74,04;-26,03;-;-;-;-;25,52;6,61
33;33009;Arcachon;11 854;15,07;22,94;45,71;-21,39;-;-;-;-;19,45;12,03
33;33039;Bègles;22 672;22,9;31,05;75,64;-26,04;-;-;-;-;25,52;8,26
33;33056;Blanquefort;14 734;16,67;21,99;46,8;-25,94;-;-;-;-;25,52;6,61
33;33063;Bordeaux;218 948;22,2;27,14;83,65;-26,86;-;-;-;-;25,52;8,26
33;33069;Le Bouscat;22 669;19,75;26,03;61,87;-24,26;-;-;-;-;25,52;8,26
33;33075;Bruges;12 541;22,33;32,33;71,2;-25,21;-;-;-;-;25,52;8,26
33;33119;Cenon;21 533;22,17;30,87;58,01;-26,12;-;-;-;-;25,52;8,26
33;33122;Cestas;17 170;15,11;19,44;38,94;-14,76;-;-;-;-;14,89;9,83
33;33162;Eysines;18 892;19,58;26,52;62,11;-24,36;-;-;-;-;25,52;8,11
33;33167;Floirac;16 284;21,23;35,75;67,53;-26,36;-;-;-;-;25,52;8,26
33;33192;Gradignan;22 834;21,59;28,13;84,03;-25,92;-;-;-;-;25,52;8,26
33;33199;Gujan-Mestras;17 824;19,93;25,09;38,96;-19,47;-;-;-;-;19,45;12,03
33;33243;Libourne;22 457;19,28;22,88;45,09;24,04;-;1,19;1,47;2,91;1,99;10,25
33;33249;Lormont;21 765;21,31;31,12;76,52;-26,43;-;-;-;-;25,52;8,26
33;33281;Mérignac;63 300;19,75;27,35;57,76;-24,04;-;-;-;-;25,52;8,26
33;33318;Pessac;56 851;21,17;28,03;49,88;-24,88;-;-;-;-;25,52;8,26
33;33449;Saint-Médard-en-Jalles;25 938;17,15;22,55;57,68;-26,13;-;-;-;-;25,52;8,26
33;33522;Talence;38 421;22,24;31,13;54,76;-24,8;-;-;-;-;25,52;8,26
33;33529;La Teste-de-Buch;23 819;21,3;22,3;57,19;-18,27;-;-;-;-;19,45;12,03
33;33550;Villenave-d'Ornon;27 846;23,64;30,21;82,82;-26,31;-;-;-;-;25,52;8,26
34;34003;Agde;20 303;19,78;23,25;67,7;-21,02;-;-;-;-;19,94;15,41
34;34032;Béziers;71 428;20,75;27,65;63,84;-22,1;8,71;-;-;-;21,32;-
34;34057;Castelnau-le-Lez;14 594;17,44;36,14;127,23;-;-;-;-;-;22,64;11,3
34;34108;Frontignan;21 181;22,2;30,27;110,11;-25,99;-;-;-;-;27,12;16,82
34;34129;Lattes;15 592;18,16;26,85;78,93;-;-;-;-;-;22,64;11,3
34;34145;Lunel;22 582;20,94;39,1;80,66;-;-;-;-;-;21,4;6,89
34;34154;Mauguio;14 974;15,04;17,86;97,63;-22,39;-;0;0;0;21,91;8,25
34;34172;Montpellier;229 055;21,34;29,58;106,94;-;-;-;-;-;22,64;11,3
34;34301;Sète;40 220;28,74;42,12;60,44;-28,66;-;-;-;-;27,12;17,35
35;35047;Bruz;14 743;16,61;17,11;43,84;-;-;0,95;1,02;2,13;16,18;8,81
35;35051;Cesson-Sévigné;15 522;9,25;8,86;25,95;-;-;0,95;1,02;2,13;16,18;7,78
35;35093;Dinard;10 988;17,3;29,2;52,84;14,56;13,37;-;-;-;-;-
35;35115;Fougères;22 819;18,76;21,36;46,4;-16,35;-;-;-;-;15,52;-
35;35236;Redon;10 545;16,32;20,04;47,47;-;-;-;-;-;14,02;8,7
35;35238;Rennes;212 494;20,43;23,45;36,54;-;-;0,95;1,02;2,13;16,18;7,96
35;35281;Saint-Jacques-de-la-Lande;10 228;19,97;19,97;54,75;-;-;0,95;1,02;2,13;16,18;10,06
35;35288;Saint-Malo;52 737;17,1;23,76;39,67;-16,12;-;-;-;-;15,98;11,84
35;35360;Vitré;15 908;13,5;15,48;38,98;-;-;-;-;-;11,9;8,33
36;36044;Châteauroux;52 345;18,04;26,02;68,63;-17,49;-;-;-;-;16,12;10,91
36;36088;Issoudun;14 166;7,94;12,77;28,09;9,56;-;7,95;12,77;21,56;9,66;-
37;37003;Amboise;11 968;17,79;26,17;77,84;-13,61;-;-;-;-;11,5;12,87
37;37050;Chambray-lès-Tours;10 576;11,06;16,84;46,52;-;-;-;-;-;15,27;8,78
37;37109;Fondettes;10 645;19,67;24,81;58,35;-;-;-;-;-;15,27;8,78
37;37122;Joué-lès-Tours;37 126;17,63;20,61;51,47;-;-;-;-;-;15,27;8,78
