Dép.;Code;Nom de la commune;Population;Taux communaux;;;;;Taux intercommunaux;;;;
;;;totale;;;;;;;;;;
;;;au 1/1/2006;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM;taxe d'habitation;foncier bâti;foncier non bâti;taxe professionnelle(*);TEOM
91;91114;Brunoy;;-;-;-;-;-;0,52;0,57;1,1;0;-
91;91161;Chilly-Mazarin;17 868;13,69;12,12;21,51;15,2;6,12;-;-;-;-;-
91;91174;Corbeil-Essonnes;39 951;17,6;21,53;112,63;-;-;-;-;-;15,8;7,39
91;91182;Courcouronnes;14 071;23,36;26,76;144,95;-;7,62;-;-;-;16,22;-
91;91201;Draveil;28 384;14,85;15,3;37,41;-14,31;9,07;-;-;-;14,86;-
91;91201;Draveil;;-;-;-;-;-;0,64;0,66;1,61;0;-
91;91215;Epinay-sous-Sénart;12 873;13,75;17,89;64,62;-19,82;-;0,49;0,58;1,68;15,66;12,67
91;91215;Epinay-sous-Sénart;;-;-;-;-;-;0,76;0,99;3,57;0;-
91;91223;Etampes;22 114;18,75;25,08;70;-24,66;-;-;-;-;20,65;11,2
91;91228;Evry;50 202;17,62;18,19;144,95;-;6,97;-;-;-;16,22;-
91;91272;Gif-sur-Yvette;21 715;14,31;16,58;51,27;-15,93;-;-;-;-;15,69;8,7
91;91272;Gif-sur-Yvette;;-;-;-;-;-;1,08;1,26;3,88;0;-
91;91286;Grigny;24 620;15,97;15,23;87,8;-;-;-;-;-;22,95;7,8
91;91326;Juvisy-sur-Orge;12 003;13,5;26,63;130,07;-17,55;-;-;-;-;14,35;6,54
91;91326;Juvisy-sur-Orge;;-;-;-;-;-;0,15;0,29;1,44;0;-
91;91345;Longjumeau;20 158;20,61;18,11;74,92;17,28;-;-;-;-;-;9,6
91;91377;Massy;38 209;14,36;13,86;97,39;15,55;-;-;-;-;-;-
91;91386;Mennecy;12 962;15,04;15,16;99,07;-16,46;-;-;-;-;12,4;-
91;91386;Mennecy;;-;-;-;-;-;0,37;0,37;2,43;0;7,54
91;91421;Montgeron;22 102;18,34;21,1;84,15;-15,1;7,89;-;-;-;14,86;-
91;91421;Montgeron;;-;-;-;-;-;0,51;0,59;2,35;0;-
91;91432;Morangis;10 698;12,12;9,92;28,03;12,03;5,3;0,12;0,09;0,27;0,17;-
91;91434;Morsang-sur-Orge;19 468;17,98;19,83;82,89;-19,82;-;-;-;-;19,54;8,26
91;91471;Orsay;16 397;15,2;21,64;79,15;-15,48;-;-;-;-;15,69;8,85
91;91471;Orsay;;-;-;-;-;-;1,8;2,57;9,39;0;-
91;91477;Palaiseau;30 158;21,48;17,72;62,44;-16,01;-;-;-;-;15,69;8,55
91;91521;Ris-Orangis;24 612;17,31;21,47;106,32;-;6,44;-;-;-;16,22;-
91;91549;Sainte-Geneviève-des-Bois;32 324;15,93;13,84;45,52;-19,24;-;-;-;-;19,54;7,73
91;91570;Saint-Michel-sur-Orge;20 543;17,4;17,8;81,09;-18,39;-;-;-;-;19,54;6,9
91;91589;Savigny-sur-Orge;36 612;16,92;14,92;50;20,97;7,37;0,24;0,21;0,71;0,53;-
91;91645;Verrières-le-Buisson;16 156;15,42;18,25;50,73;-13,67;-;-;-;-;11,97;-
91;91645;Verrières-le-Buisson;;-;-;-;-;-;0,73;0,86;2,39;0;8,39
91;91657;Vigneux-sur-Seine;25 776;20,49;17,96;140,8;-15,05;10,71;-;-;-;14,86;-
91;91657;Vigneux-sur-Seine;;-;-;-;-;-;0,89;0,78;6,09;0;-
91;91687;Viry-Châtillon;30 529;21,58;21,58;37,25;-;-;-;-;-;22,95;7,8
91;91691;Yerres;27 744;19,55;25,59;57,58;-16,99;-;0,49;0,58;1,68;15,66;8,61
91;91691;Yerres;;-;-;-;-;-;0,62;0,81;1,82;0;-
91;91692;Les Ulis;25 947;12,39;16,81;66,64;12,98;-;-;-;-;-;7,22
92;92002;Antony;60 420;11,07;16,91;16,33;-12,77;-;-;-;-;11,97;4,66
92;92004;Asnières-sur-Seine;76 314;12,27;10,11;13,39;17,93;7,2;-;-;-;-;-
92;92007;Bagneux;37 433;15,24;21,68;25,63;-14,65;-;-;-;-;12,74;5,6
92;92009;Bois-Colombes;24 048;18,12;16,28;24,18;18,38;6,08;-;-;-;-;-
92;92012;Boulogne-Billancourt;107 042;9,74;6,75;8,47;-;-;-;-;-;8,99;4,52
92;92014;Bourg-la-Reine;18 497;13,58;13,58;11,83;-15,03;-;-;-;-;11,97;4,84
92;92019;Châtenay-Malabry;30 919;14,5;17,02;57,25;-15,36;-;-;-;-;11,97;5,97
92;92020;Châtillon;28 788;15,03;16,14;25,84;14,96;4,88;0,67;0,6;0,77;0,82;-
92;92022;Chaville;18 136;15,11;18;24,65;-13,26;-;-;-;-;12,71;4,25
92;92023;Clamart;49 131;14,27;14,78;15,28;-11,71;-;-;-;-;12,74;5,6
92;92024;Clichy;50 420;16,4;20,3;15,73;20,24;4,96;-;-;-;-;-
92;92025;Colombes;77 184;18,03;22,5;23,74;19,65;6,47;-;-;-;-;-
92;92026;Courbevoie;70 105;5,75;4,12;7,26;7,11;1,45;-;-;-;-;-
92;92032;Fontenay-aux-Roses;23 849;12,08;13,48;15,35;-12,68;-;-;-;-;12,74;5,6
92;92033;Garches;18 320;11,65;13,64;30,4;-12,46;4,03;-;-;-;7,5;-
92;92035;La Garenne-Colombes;24 181;9,98;11,02;16,42;12,14;7,26;-;-;-;-;-
92;92036;Gennevilliers;42 733;12,56;20,51;24,73;21,21;6,44;-;-;-;-;-
92;92040;Issy-les-Moulineaux;60 927;9,99;11,09;9,11;-12,63;-;-;-;-;12,71;2,95
92;92044;Levallois-Perret;54 994;10,99;11,31;29,99;16,93;2,98;-;-;-;-;-
92;92046;Malakoff;29 644;12,02;14,49;10,79;-12,61;-;-;-;-;12,74;5,6
92;92048;Meudon;44 372;14,03;10,41;14,21;-12,65;-;-;-;-;12,71;5,26
92;92049;Montrouge;42 002;10,31;7,86;6,92;10,11;2,81;0,67;0,6;0,77;0,82;-
92;92049;Montrouge;;-;-;-;-;-;0,01;0;0;0,01;-
92;92050;Nanterre;86 219;6,9;11,24;20,5;18,38;3,43;-;-;-;-;-
92;92051;Neuilly-sur-Seine;60 364;4,81;2,34;3,17;4,77;1,63;-;-;-;-;-
92;92060;Le Plessis-Robinson;21 759;13,07;19;100,53;-11,77;-;-;-;-;11,97;4,26
92;92062;Puteaux;40 950;6,91;7,93;11,51;9,71;1,67;-;-;-;-;-
92;92063;Rueil-Malmaison;74 671;14,63;9,89;21,49;11,79;3,39;0,11;0,07;0,15;0,18;-
92;92064;Saint-Cloud;28 395;10,24;9,84;12,04;-6,56;2,8;-;-;-;7,5;-
92;92071;Sceaux;19 850;12,06;18,18;18,37;-13,71;-;-;-;-;11,97;5,37
92;92071;Sceaux;;-;-;-;-;-;0,04;0,06;0,06;0;-
92;92072;Sèvres;22 754;11,78;13,99;88,25;-;-;-;-;-;8,99;4,52
92;92073;Suresnes;40 594;14,43;18,18;105,56;15,98;3,56;-;-;-;-;-
92;92075;Vanves;25 712;14,64;18,01;13,27;-14,26;-;-;-;-;12,71;5,39
92;92077;Ville-d'Avray;11 573;8,93;14,28;17,6;-12,29;-;-;-;-;12,71;3,76
92;92078;Villeneuve-la-Garenne;22 438;12,09;15,45;18,21;23,36;7,34;-;-;-;-;-
93;93001;Aubervilliers;63 524;13,64;20,85;26,28;-21,48;-;-;-;-;21,7;6,4
93;93005;Aulnay-sous-Bois;80 315;16,12;14,4;23,45;20,94;6,24;0,27;0,24;0,39;0,45;-
93;93006;Bagnolet;32 761;14,44;19,81;20,22;22,82;2,57;-;-;-;-;-
93;93007;Le Blanc-Mesnil;47 079;15,34;21,29;45,9;25,71;-;1,71;2,37;5,1;4,71;-
93;93008;Bobigny;44 318;16,14;23,48;72,05;28,67;7,25;-;-;-;-;-
93;93010;Bondy;47 084;18,06;19,86;99,39;26,32;10,33;-;-;-;-;-
93;93013;Le Bourget;12 151;14,8;15;19,38;19,97;6,46;-;-;-;-;-
93;93014;Clichy-sous-Bois;28 379;20,5;17,83;45,2;-22,5;7,67;-;-;-;22,36;-
93;93027;La Courneuve;35 608;8,33;20,53;16,25;-23,36;-;-;-;-;21,7;5,27
93;93029;Drancy;62 624;11,66;21,41;43,33;27,77;6,07;-;-;-;-;-
93;93030;Dugny;10 023;15,4;25,85;72,44;21,06;8,39;-;-;-;-;-
93;93031;Epinay-sur-Seine;46 593;16,71;24,06;30,91;-21,48;-;-;-;-;21,7;6,69
93;93032;Gagny;36 876;19,62;20,46;34,77;21,13;7,29;-;-;-;-;-
93;93045;Les Lilas;20 484;16,5;22,42;28,84;24,2;5,96;-;-;-;-;-
93;93046;Livry-Gargan;37 415;15,66;16,25;25,89;19,29;5,55;-;-;-;-;-
93;93047;Montfermeil;24 199;20,1;16,72;23,03;-22,21;-;-;-;-;22,36;-
93;93047;Montfermeil;;-;-;-;-;-;-;-;-;-;8,48
93;93048;Montreuil;91 146;16,49;19,9;30,69;29,94;9,25;-;-;-;-;-
93;93049;Neuilly-Plaisance;18 300;16,17;18,29;35,42;15,86;7,9;-;-;-;-;-
93;93050;Neuilly-sur-Marne;32 875;14,75;15,4;26,68;14,75;6,75;-;-;-;-;-
93;93051;Noisy-le-Grand;61 198;18,21;15,73;97,66;21,59;5,68;-;-;-;-;-
93;93053;Noisy-le-Sec;37 460;14,09;24,48;21,02;20,17;7,22;-;-;-;-;-
93;93055;Pantin;50 070;12,77;21,74;20,02;24,6;3,68;-;-;-;-;-
93;93057;Les Pavillons-sous-Bois;18 559;13,46;17,73;26,5;22,21;8,03;-;-;-;-;-
93;93059;Pierrefitte-sur-Seine;25 939;17,93;27,68;46,18;-21,48;-;-;-;-;21,7;8,13
93;93061;Le Pré-Saint-Gervais;16 609;12,78;26,94;44,9;27,28;7,22;-;-;-;-;-
93;93062;Le Raincy;13 179;16,77;13,76;19,6;16,36;5,6;-;-;-;-;-
93;93063;Romainville;24 010;13,99;24,26;39,55;22,62;6,4;-;-;-;-;-
93;93064;Rosny-sous-Bois;39 499;17,26;19,67;20,27;23,49;5,84;-;-;-;-;-
93;93066;Saint-Denis;86 871;9,72;17,46;21,52;-21,48;-;-;-;-;21,7;5,64
93;93070;Saint-Ouen;40 015;10,16;10,91;10,38;18,7;5,01;-;-;-;-;-
93;93071;Sevran;47 215;21,84;21,84;91,45;21,84;-;-;-;-;-;-
93;93072;Stains;33 076;16,21;23,81;34,55;-22,4;-;-;-;-;21,7;7,53
93;93073;Tremblay-en-France;34 018;14,23;19,88;86,47;15,03;-;1,2;1,67;7,28;2,06;-
93;93077;Villemomble;27 230;13,71;15,66;48,95;18,07;6,12;-;-;-;-;-
93;93078;Villepinte;33 902;15,22;31,33;89,16;14,75;-;1,74;3,58;10,2;2,7;-
93;93079;Villetaneuse;11 419;12,53;26,44;55,57;-21,48;-;-;-;-;21,7;7,22
94;94002;Alfortville;36 392;14,5;17,24;68,52;-20,56;-;-;-;-;24,23;7,31
94;94003;Arcueil;18 208;14,29;20,95;21,59;-20,33;-;-;-;-;23,18;5,12
94;94004;Boissy-Saint-Léger;15 393;19,01;18,93;70,46;-18,49;-;-;-;-;18,24;7,55
94;94004;Boissy-Saint-Léger;;-;-;-;-;-;0,31;0,31;1,15;0;-
94;94011;Bonneuil-sur-Marne;16 352;15,65;25,55;87,27;25,11;6,21;0,21;0,35;1,19;0,48;-
94;94015;Bry-sur-Marne;15 066;11,93;21,21;24,34;17,32;7,73;-;-;-;-;-
94;94016;Cachan;25 327;17,19;20,69;69,04;-23,96;-;-;-;-;23,18;7,87
94;94016;Cachan;;-;-;-;-;-;0,33;0,4;1,33;0;-
94;94017;Champigny-sur-Marne;74 658;16,94;19,53;27,4;30,68;10,95;-;-;-;-;-
94;94018;Charenton-le-Pont;26 706;9,15;13,74;18,87;14,83;-;0,79;1,11;1,69;1,15;4,16
94;94019;Chennevières-sur-Marne;17 919;13,48;13,7;36,62;-17,35;-;-;-;-;18,24;7,55
94;94019;Chennevières-sur-Marne;;-;-;-;-;-;0,02;0,02;0,05;0;-
94;94021;Chevilly-Larue;18 288;6,33;13,05;28,65;16,84;5,6;0,11;0,23;0,52;0,47;-
94;94022;Choisy-le-Roi;34 574;14,64;23,76;108,39;20,08;5,29;0,46;0,74;3,39;0,97;-
94;94028;Créteil;82 630;18,42;22,48;41,28;-25,01;-;-;-;-;24,23;7,68
94;94033;Fontenay-sous-Bois;51 264;13,54;15,26;20,09;20,02;6,48;-;-;-;-;-
94;94034;Fresnes;25 315;15,65;22,08;44,23;-24,59;-;-;-;-;23,18;-
94;94034;Fresnes;;-;-;-;-;-;0,27;0,38;0,79;0;5,33
94;94037;Gentilly;16 183;6,34;26,54;11,28;-21,38;-;-;-;-;23,18;4,63
94;94038;L'Hay-les-Roses;29 816;17,27;21,17;43,18;-23,82;-;-;-;-;23,18;-
94;94038;L'Hay-les-Roses;;-;-;-;-;-;0,38;0,46;0,94;0;4,8
94;94041;Ivry-sur-Seine;51 425;10,06;29,21;43,96;28,26;-;-;-;-;-;-
94;94042;Joinville-le-Pont;17 348;13,98;23,68;30,43;20,99;7,2;0,13;0,22;0,28;0,38;-
94;94043;Le Kremlin-Bicêtre;23 900;13,96;19,51;14,94;-22,3;-;-;-;-;23,18;4,6
94;94044;Limeil-Brévannes;17 650;20,76;20,76;100,85;-24,76;-;-;-;-;24,23;8,94
94;94044;Limeil-Brévannes;;-;-;-;-;-;1,75;1,75;8,5;0;-
94;94046;Maisons-Alfort;51 749;11,85;11,81;18,24;13,47;5,43;0,07;0,07;0,11;0,14;-
94;94052;Nogent-sur-Marne;28 416;17,16;21,15;77,19;-;-;-;-;-;21,55;5,78
94;94054;Orly;20 706;14,93;17,48;39,85;19,33;-;0,1;0,12;0,27;0,23;-
94;94058;Le Perreux-sur-Marne;30 227;10,96;19,54;26,76;-;-;-;-;-;21,55;5,78
94;94059;Le Plessis-Trévise;18 287;13,4;16,5;43,53;-17,29;-;-;-;-;18,24;7,55
94;94060;La Queue-en-Brie;10 904;19,5;21,2;82,46;-19,33;-;-;-;-;18,24;7,55
94;94060;La Queue-en-Brie;;-;-;-;-;-;0,72;0,79;3,06;0;-
94;94067;Saint-Mandé;19 979;10,39;13,35;7,61;19,19;3,92;-;-;-;-;-
94;94068;Saint-Maur-des-Fossés;73 613;11,83;11,83;27,71;15,11;6,86;0,13;0,13;0,31;0,3;-
94;94069;Saint-Maurice;12 821;12,38;15,42;33,86;14,56;-;0,79;1,11;1,69;1,15;4,14
94;94071;Sucy-en-Brie;25 030;21,42;19,62;123,78;-18,34;-;-;-;-;18,24;7,55
94;94071;Sucy-en-Brie;;-;-;-;-;-;0,42;0,39;2,43;0;-
94;94073;Thiais;28 502;10,75;10,57;19,75;12,71;5,79;0,16;0,16;0,29;0,3;-
94;94074;Valenton;11 489;17,71;19,31;60,82;22,01;5,66;0,8;0,87;2,74;1,3;-
94;94076;Villejuif;47 613;18,63;23,76;119,12;-26,65;-;-;-;-;23,18;6,01
94;94077;Villeneuve-le-Roi;18 376;20,65;25,73;112,36;18,78;2,58;0,77;0,95;4,16;0,97;-
94;94078;Villeneuve-Saint-Georges;28 942;21,28;18,06;29,02;15,74;9,08;0,48;0,41;0,65;0,46;-
94;94079;Villiers-sur-Marne;26 894;22,31;21,07;120,02;23,77;9,48;0,02;0,02;0,1;0,03;-
94;94080;Vincennes;43 937;12,61;16,52;60,11;16,15;5,2;-;-;-;-;-
94;94081;Vitry-sur-Seine;79 322;11,5;17,64;28,05;21,9;3,69;-;-;-;-;-
95;95018;Argenteuil;95 416;17,93;19,15;51;-;-;-;-;-;19,66;-
95;95018;Argenteuil;;-;-;-;-;-;1,17;1,25;3,34;0;-
95;95019;Arnouville-lès-Gonesse;12 403;13,94;20,67;79,53;-;-;-;-;-;16,91;9,05
95;95019;Arnouville-lès-Gonesse;;-;-;-;-;-;0,9;1,34;5,16;0;-
95;95063;Bezons;26 480;14,81;16,78;78,34;-;-;-;-;-;19,66;-
95;95063;Bezons;;-;-;-;-;-;-;-;-;-;7,46
95;95127;Cergy;56 105;11,22;24;31,98;-;8,17;-;-;-;15,94;-
95;95176;Cormeilles-en-Parisis;19 822;15,85;15,69;32,46;-20,51;-;-;-;-;18,51;6,68
95;95197;Deuil-la-Barre;20 292;14,07;17,19;68,72;-19,09;-;-;-;-;18,97;7,84
95;95197;Deuil-la-Barre;;-;-;-;-;-;2,03;2,48;9,9;0;-
95;95199;Domont;15 051;14,57;13,38;66,5;-17,58;-;-;-;-;18,86;7,94
95;95199;Domont;;-;-;-;-;-;1,22;1,12;5,58;0;-
95;95203;Eaubonne;23 026;14,1;19,26;35,69;-17,04;-;-;-;-;16,41;8,03
95;95203;Eaubonne;;-;-;-;-;-;0,84;1,14;2,12;0;-
95;95210;Enghien-les-Bains;10 468;9,17;9,3;41,25;10,01;-;1,31;1,33;5,89;2,77;6,05
95;95218;Eragny;16 792;13,78;25,88;42,84;-;8,88;-;-;-;15,94;-
95;95219;Ermont;27 696;14,32;16,92;81,83;-16,03;-;-;-;-;16,41;7,67
95;95219;Ermont;;-;-;-;-;-;1,26;1,49;7,19;0;-
95;95250;Fosses;10 045;14,67;19,43;94,36;-14,71;-;1,13;1,24;5,66;10,82;-
95;95250;Fosses;;-;-;-;-;-;0,17;0,23;1,12;0;3,6
95;95252;Franconville;33 665;15,95;16,74;119,63;-;-;-;-;-;16,41;7,3
95;95252;Franconville;;-;-;-;-;-;0,52;0,54;3,88;0;-
95;95268;Garges-lès-Gonesse;40 213;16,45;21,17;57,65;-19,88;-;-;-;-;16,91;9,05
95;95268;Garges-lès-Gonesse;;-;-;-;-;-;0,4;0,52;1,41;0;-
95;95277;Gonesse;24 974;17,65;17,17;60,45;17,29;3,6;1,25;1,21;4,27;1,78;-
95;95280;Goussainville;27 540;14,98;18,42;58,62;17,22;3,82;1,64;2,01;6,4;2,79;-
95;95306;Herblay;23 631;17,54;21,6;78,43;-20,76;-;-;-;-;18,51;-
95;95306;Herblay;;-;-;-;-;-;0,02;0,02;0,07;0;6,4
95;95313;L'Isle-Adam;11 307;15,96;16,79;79,38;21,43;-;0,08;0,08;0,34;0,1;8,48
95;95323;Jouy-le-Moutier;18 230;11,2;23,5;31,24;-;8;-;-;-;15,94;-
95;95424;Montigny-lès-Cormeilles;17 333;16,35;18,26;119,65;-25,2;-;-;-;-;18,51;-
95;95424;Montigny-lès-Cormeilles;;-;-;-;-;-;0,41;0,46;2,99;0;6,96
95;95427;Montmagny;13 200;15,67;29,52;95,77;-18,62;-;-;-;-;18,97;9,41
95;95427;Montmagny;;-;-;-;-;-;1,43;2,7;8,75;0;-
95;95428;Montmorency;20 797;16,6;19,65;88,78;-19,14;-;-;-;-;18,97;7,79
95;95428;Montmorency;;-;-;-;-;-;0,82;0,97;4,38;0;-
95;95476;Osny;14 792;12,01;25;74,59;-;8,3;-;-;-;15,94;-
95;95476;Osny;;-;-;-;-;-;0;0,01;0,03;0;-
95;95500;Pontoise;28 725;15,28;24,89;37,54;-;9,42;-;-;-;15,94;-
95;95500;Pontoise;;-;-;-;-;-;0,01;0,01;0,02;0;-
95;95539;Saint-Brice-sous-Forêt;12 652;16,05;20,24;81,53;-21,12;-;-;-;-;18,86;7,94
95;95539;Saint-Brice-sous-Forêt;;-;-;-;-;-;1,57;1,98;7,97;0;-
95;95555;Saint-Gratien;19 333;12,1;16,2;43,43;-19,24;-;-;-;-;18,97;6,95
95;95555;Saint-Gratien;;-;-;-;-;-;2;2,67;7,16;0;-
95;95563;Saint-Leu-la-Forêt;15 243;16,86;19,83;98,12;16,3;-;0,46;0,54;2,69;0,86;7,77
95;95572;Saint-Ouen-l'Aumône;21 501;7,92;21,4;35,8;-;-;-;-;-;15,94;-
95;95582;Sannois;25 887;16,88;19,95;62,69;18,96;-;1,73;2,04;6,42;3,68;8,9
95;95585;Sarcelles;58 241;17,32;18,8;41,51;-;-;-;-;-;16,91;-
95;95585;Sarcelles;;-;-;-;-;-;0,5;0,54;1,2;0;9,05
95;95598;Soisy-sous-Montmorency;16 888;13,25;13,69;94,73;-19,07;-;-;-;-;18,97;7,36
95;95598;Soisy-sous-Montmorency;;-;-;-;-;-;2,66;2,75;19;0;-
95;95607;Taverny;26 092;14,86;16,88;43,31;13,41;-;0,98;1,11;2,85;1,24;7,6
95;95637;Vauréal;16 489;11,32;24,5;39,13;-;8,69;-;-;-;15,94;-
95;95680;Villiers-le-Bel;26 330;12,84;18,87;55,88;-;-;-;-;-;16,91;9,05
95;95680;Villiers-le-Bel;;-;-;-;-;-;1,3;1,91;5,67;0;-
971;97101;Les Abymes;63 290;14,94;19,93;59,65;10,04;10,6;-;-;-;-;-
971;97103;Baie-Mahault;23 838;12,85;17,9;78,92;12,85;1,21;0,07;0,1;0,44;0,09;-
971;97105;Basse-Terre;12 667;-;-;-;-;-;-;-;-;14,98;18,99
971;97107;Capesterre-Belle-Eau;19 678;22;25;81,16;19,59;11,9;-;-;-;-;-
971;97113;Le Gosier;25 435;6,15;6,2;11,64;3,12;13;-;-;-;-;-
971;97115;Lamentin;13 528;-;-;-;-;-;1,47;3,31;9,39;1,7;7,01
971;97116;Morne-à-l'Eau;17 239;21,01;46,76;117,81;27,96;-;-;-;-;-;-
971;97117;Le Moule;20 917;8,94;24,05;51,41;9,09;5,96;-;-;-;-;-
971;97118;Petit-Bourg;20 628;-;-;-;-;4,99;0,17;0,22;0,77;0,19;-
971;97120;Pointe-à-Pitre;21 080;17,98;37,09;45,9;17,98;11,39;-;-;-;-;-
971;97124;Saint-Claude;10 476;-;-;-;-;-;-;-;-;14,98;12,84
971;97125;Saint-François;10 694;4,81;8,18;18,86;4,15;6,79;-;-;-;-;-
971;97127;Saint-Martin;33 164;18,34;27,99;105,88;19,11;14,7;-;-;-;-;-
971;97128;Sainte-Anne;20 491;13,78;15,17;66,21;20,45;10,6;-;-;-;-;-
971;97129;Sainte-Rose;17 639;12,73;21,47;103,11;12,05;-;1,47;3,31;9,39;1,7;11
972;97207;Ducos;15 292;-;-;-;-;-;-;-;-;-;17
972;97209;Fort-de-France;94 778;24,53;29,41;25,32;-14,6;-;-;-;-;13,99;13,5
972;97210;Le François;18 633;-;-;-;-;-;-;-;-;-;17
972;97212;Gros-Morne;10 710;13,97;18,85;14,67;3,24;-;4,97;9,13;7,62;3,2;6,75
972;97213;Le Lamentin;38 613;16,96;16,85;29,32;-13,68;-;-;-;-;13,99;13,54
972;97220;Rivière-Pilote;13 117;-;-;-;-;-;-;-;-;-;17
972;97221;Rivière-Salée;12 332;-;-;-;-;-;-;-;-;-;17
972;97222;Le Robert;23 117;12,05;30,1;21,81;13,09;-;4,97;9,13;7,62;3,2;6,75
972;97224;Saint-Joseph;15 826;10,84;11,38;20,59;-12,78;-;-;-;-;13,99;13,54
972;97228;Sainte-Marie;20 218;17,88;20,88;15,79;5,12;-;4,97;9,13;7,62;3,2;6,75
972;97229;Schoelcher;20 908;16,99;15,06;5,15;-12,62;-;-;-;-;13,99;13,54
972;97230;La Trinité;13 067;9,03;24,89;11,69;9,15;-;4,97;9,13;7,62;3,2;6,75
973;97302;Cayenne;50 675;14,31;33,3;65,79;22,96;14,5;0,92;1,96;4,1;1,06;-
973;97304;Kourou;19 191;13,24;33,39;84,05;10,65;10,51;-;-;-;-;-
973;97307;Matoury;20 686;12,27;16,48;31,3;7,47;13;0,92;1,96;4,1;1,06;-
973;97309;Remire-Montjoly;15 565;6,9;7,63;13,43;2,7;13,09;0,92;1,96;4,1;1,06;-
973;97311;Saint-Laurent-du-Maroni;19 416;21,07;39,4;76,32;-16,01;-;-;-;-;15,26;12,3
974;97402;Bras-Panon;10 677;17,78;33,32;42,62;-18,44;-;-;-;-;22,68;13
974;97404;L'Etang-Salé;11 850;16,2;23,12;39,2;-18,04;-;-;-;-;20,91;16,25
974;97405;Petite-Ile;10 226;15,75;24,87;28,9;-17,21;-;-;-;-;20,91;16,25
974;97407;Le Port;38 675;21,96;26,93;27,33;-16,74;-;-;-;-;17,38;11,8
974;97408;La Possession;24 461;19,64;21,35;34,83;-14,31;-;-;-;-;17,38;12
974;97409;Saint-André;48 157;26,7;26,54;23,47;-23,52;-;-;-;-;22,68;13
974;97410;Saint-Benoît;31 873;18,1;32,42;45,1;-23,24;-;-;-;-;22,68;13
974;97411;Saint-Denis;132 573;17,73;22,65;12,4;-14,88;-;-;-;-;15,52;11,55
974;97412;Saint-Joseph;30 771;16,58;27,54;33,46;18,38;-;1,45;2,37;3,05;1,33;11,48
974;97413;Saint-Leu;27 386;19,76;27,97;27,35;-17,32;-;-;-;-;17,38;13,84
974;97414;Saint-Louis;44 112;25,05;31,57;37,24;-25,14;-;-;-;-;20,91;16,25
974;97415;Saint-Paul;88 980;19,48;24,9;26,7;-19,55;-;-;-;-;17,38;13,21
974;97416;Saint-Pierre;69 849;16,54;28,61;23,1;-19,06;-;-;-;-;20,91;16,25
974;97418;Sainte-Marie;29 682;18,2;28,85;50,25;-17,52;-;-;-;-;15,52;11,55
974;97420;Sainte-Suzanne;21 131;23,58;27,68;36,19;-17,22;-;-;-;-;15,52;11,55
974;97422;Le Tampon;61 258;15,63;25,98;31,37;13,18;-;1,45;2,37;3,05;1,33;13,39
